rep,avgQ,util,avgDelay,served,dropped
1,8.565609229,0.9049732154,10.606478,18074,0
2,8.367845254,0.8858563633,10.52795619,17886,0
3,10.38306378,0.9027248447,12.88589419,18066,0
4,8.346924356,0.8924149845,10.60464055,17884,0
5,7.205659816,0.8995332663,8.550042913,17927,0
6,9.212832391,0.9108652812,10.35840955,18212,0
7,6.196638173,0.8882484356,7.84776226,17933,0
8,8.851381783,0.9126486213,10.96276644,18205,0
9,10.43815657,0.9041684227,12.95093408,18002,0
10,11.84712746,0.9137383116,14.76676896,17905,0
